sample_id,iteration,seed,Percentage of burned trees
0,0,227571837308268395724938816664560550168,0.027
0,1,82993466783789111924771253798551143823,0.0415
0,2,173112179163801420834535996882509830624,0.0255
0,3,95448275463539170430684559573194534910,0.0445
0,4,320955188906859560439698391248600076402,0.041
0,5,285398415207611120107522297131585449128,0.037
0,6,112180448051648071963135468725402880178,0.045
0,7,282181525986638762616051423491898848569,0.034
0,8,125809824081740464147299956668812062430,0.0415
0,9,312870734425698136540982353004699490282,0.033
0,10,207932741126370640533206282570742604671,0.041
0,11,69564010444538756661664692301962471090,0.0465
0,12,104283087251214718716834863418128587182,0.0365
0,13,5449924141548840243823791016428518792,0.0415
0,14,270919797793891804032489809932780756896,0.046
0,15,319195312610571738910064746022013777260,0.036
0,16,248960010050901289438499321089890631992,0.042
0,17,231700114467604685803944177603748803920,0.041
0,18,48211853136981065745803165377671412247,0.0345
0,19,14022115463794474071330650567740023963,0.0375
0,20,177795569590090688213000650430972659231,0.041
0,21,27296607253831697049131425535123891164,0.0395
0,22,249088735242873526536442278457371198172,0.0305
0,23,282386986485765347587517212820422121939,0.0375
0,24,190017507257583788670854410187533515889,0.04
0,25,197036226618988206006280498199363298637,0.055
0,26,271476147273107676729855757784591459375,0.042
0,27,176705297090271128735694356830374908024,0.038
0,28,254661290178786262036014463579366026102,0.0365
0,29,32989111096302363720254464346686587730,0.036
0,30,266662073167659069323340752620807678330,0.041
0,31,255275322279986957712966959030113256232,0.039
0,32,323334886828402479384620179966728562585,0.049
0,33,207654346379944073887882498963355864252,0.0335
0,34,5799803839142160506066623307356225159,0.0355
0,35,324813146149754967607720500419526184245,0.0425
0,36,319405474574646932365427156317991283580,0.044
0,37,172850583025427622797779238911512739110,0.039
0,38,271279078984341920876378227648928998847,0.046
0,39,127463994693633809804162318236238936931,0.0425
1,0,283325574384971017492108288326785126413,0.040243331773514274
1,1,8752906443885326890829982999950133581,0.05615348619560131
1,2,66728368875769743025662233860421204920,0.03509592887225082
1,3,308236831703653507588469315596434463052,0.04211511464670098
1,4,278195609355133975692011656801376149629,0.03603182030884417
1,5,207964534286708143913070694040280466025,0.04211511464670098
1,6,229521834052495440409959081908631598039,0.0416471689284043
1,7,168042961273614914570224935400687297404,0.04632662611137108
1,8,306036741130930505279915789099155700103,0.03369209171736079
1,9,129065958380232376190810082527872212992,0.03509592887225082
1,10,181941139692786493756025324751197376831,0.04445484323818437
1,11,103303755516380406504470778969262583457,0.036499766027140855
1,12,298249037437968511654966702836136095150,0.03369209171736079
1,13,287028521855336114938645597709652491145,0.0416471689284043
1,14,316072438349862009898994438337770675914,0.04305100608329434
1,15,178116800231604460326346629623074435801,0.0397753860552176
1,16,24899552486371452154874765732633774098,0.04398689751988769
1,17,141652285969824488428704128325825946981,0.03603182030884417
1,18,225546393860515434360892355419887968073,0.04258306036499766
1,19,142982740393410260134182525088869058896,0.034160037435657466
1,20,240648099534959150547000751764639186625,0.044922788956481045
1,21,227682504479577318888999044998053846397,0.027608797379503978
1,22,209344441220106969524545407212017651467,0.03603182030884417
1,23,147650542304125756422363293146510003683,0.05334581188582124
1,24,308528816188330324471038679224471943663,0.04211511464670098
1,25,221040551004377013433588978612277860339,0.05194197473093121
1,26,54510557448442473483778816655638071712,0.040243331773514274
1,27,158192738773687670764725625203838245305,0.030416471689284044
1,28,104902786633769525828049182680551473648,0.04773046326626111
1,29,90765263732858329937274816885963776126,0.0397753860552176
1,30,101291475038035597582851293404894407017,0.04071127749181095
1,31,233120033031299208587383989383927383079,0.039307440336920914
1,32,69196932354768435247081717019064495995,0.0416471689284043
1,33,200549378264888431235754545734675115584,0.052877866167524566
1,34,118656555819607962352631710606831826652,0.034160037435657466
1,35,328741448894857891308869652897331082019,0.04866635470285447
1,36,196052055867868714506913874231762591612,0.04539073467477773
1,37,307194480297738318501893424727194284064,0.04398689751988769
1,38,6116600900057550044913059534898704707,0.044922788956481045
1,39,283774317271750170753672739903761366359,0.048198408984557795
2,0,199541632653744215908441707491006200414,0.046153846153846156
2,1,215701003541718358378055910783921086683,0.04879120879120879
2,2,150061645523279557158747332910436183274,0.04527472527472527
2,3,125378435118627431116412231157612445461,0.03120879120879121
2,4,338178005227332482289611460789955193473,0.05010989010989011
2,5,27869824789482218514473788740455302475,0.04
2,6,279414381931480892250117473938020452759,0.032527472527472526
2,7,49903871555258260321749273065970019249,0.03736263736263736
2,8,121245459031489399208050199142612655640,0.03736263736263736
2,9,59758501525693309183450234271196838834,0.06021978021978022
2,10,101813811987350217700817794577109604572,0.0421978021978022
2,11,161364931842456239660801470747657078701,0.05406593406593407
2,12,329927739283927450164822695348487027784,0.035164835164835165
2,13,241428679745642106837247767600254064817,0.05054945054945055
2,14,331167430892682311360467261084870512582,0.04043956043956044
2,15,41472226862377798876374335909633910028,0.03208791208791209
2,16,196811640271440917509486939078994486006,0.03604395604395604
2,17,143357030301925865906514688614867089899,0.03208791208791209
2,18,22172279572350937116869734032738439685,0.03296703296703297
2,19,265567157284071549639609479649850805671,0.045714285714285714
